U2 RF2
0.000000 0.000000
0.000000 0.000000
0.000351 3.504893
0.000695 7.780919
0.001211 13.333031
0.001960 22.202379
0.003070 34.691804
0.004789 53.989145
0.007399 83.925362
0.011310 127.577759
0.017124 191.947773
0.024671 277.763176
0.032278 367.501658
0.039933 456.563592
0.047645 546.774650
0.055387 636.265779
0.063138 725.988998
0.070900 815.322151
0.078659 904.241319
0.086422 992.415402
0.094181 1078.805465
0.101936 1164.763033
0.109685 1251.370025
0.117433 1337.388395
0.125151 1425.081225
0.132924 1511.207713
0.140628 1599.001043
0.148369 1686.449503
0.156069 1774.896818
0.163782 1863.387511
0.171464 1952.273790
0.179155 2040.559436
0.186827 2128.776439
0.194507 2216.443334
0.202178 2304.185224
0.209860 2391.960991
0.217538 2480.268161
0.225227 2568.848778
0.232914 2657.724910
0.240608 2746.853028
0.248304 2834.366953
0.256004 2923.871812
0.263706 3011.671441
0.271414 3100.571114
0.279221 3179.899577
0.286914 3265.571383
0.294681 3352.770928
0.302414 3439.657613
0.310212 3522.831234
0.318123 3591.569814
0.325557 3693.276921
0.333653 3780.492403
0.341171 3853.050902
0.349258 3935.001750
0.356564 4039.497348
0.364797 4116.184289
0.372651 4161.741280
0.380023 4284.118668
0.387949 4382.199561
0.395799 4449.706608
0.403480 4538.672178
0.411105 4643.205459
0.419046 4720.504087
0.426778 4796.436968
0.434490 4889.312636
0.442172 4984.805216
0.449971 5070.347932
0.457687 5155.085075
0.465417 5243.486895
0.473188 5326.164581
0.480969 5405.141061
0.488656 5492.921291
0.496427 5579.163103
0.504112 5668.765390
0.511878 5757.002166
0.519533 5851.038274
0.527307 5940.476178
0.534953 6033.184613
0.542800 6113.205284
0.550353 6206.896254
0.558243 6285.207915
0.565812 6370.993935
0.573771 6439.602429
0.581205 6535.035192
0.589197 6612.277860
0.596716 6700.560820
0.604564 6790.474062
0.612133 6886.694524
0.620012 6970.842334
0.627546 7066.667649
0.635451 7147.680745
0.642999 7237.673458
0.650901 7315.217635
0.658452 7403.010533
0.666349 7480.566822
0.673921 7567.714916
0.681829 7645.098719
0.689375 7737.650779
0.697313 7818.230922
0.704842 7915.126407
0.712783 8000.833726
0.720312 8100.778085
0.728258 8187.330133
0.735787 8286.285133
0.743751 8368.894650
0.751275 8456.556903
0.759247 8556.580320
0.766776 8619.585405
0.774753 8724.472475
0.782274 8790.744997
0.790369 8870.693081
0.797715 8953.403339
0.805898 9034.660076
0.813266 9108.712909
0.821345 9203.751065
0.828771 9280.694605
0.836791 9385.996721
0.844212 9473.453903
0.852507 9554.760770
0.859546 9658.167868
0.868016 9751.434537
0.875275 9804.260670
0.883359 9919.665313
0.890760 9975.949706
0.898832 10079.919273
0.906247 10132.978533
0.914284 10239.376339
0.921656 10301.085824
0.927751 10390.519516
